DATE;e_calcium;e_calories;e_carbs;e_cholesterol;e_fiber;e_protein;e_sat_fat;e_sodium;e_sugar;e_unsat_fat;m_active_time;m_calories;m_distance;m_inactive_time;m_lcat;m_lcit;m_steps;m_workout_count;m_workout_time;n_asleep_time;n_awake;n_awake_time;n_awakenings;n_bedtime;n_deep;n_duration;n_light;n_quality;o_count;o_mood;s_asleep_time;s_awake;s_awake_time;s_awakenings;s_bedtime;s_deep;s_duration;s_light;s_quality
20130515;;;;;;;;;;;0;0;1000;20000;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
20130530;;;;;;;;;;;1156;109,859000444;1784;20000;844;0;2168;0;0;;;;;;;;;;;;;;;;;;;;
20130531;;;;;;;;;;;9311;952,765003353;14934;20940;898;3300;17888;0;0;;;;;;;;;;;;152;400;386;0;146;7695;14294;6599;47
20130601;;;;;;;;;;;5435;563,495000169;8832;23820;1325;4620;10488;0;0;;;;;;;;;;;;;;;;;;;;
20130602;;;;;;;;;;;4755;479,630002514;7562;25560;1713;17520;9089;0;0;;;;;;;;;;;;;;;;;;;;
20130603;;;;;;;;;;;5182;500,055002108;8001;30360;1687;7800;9713;0;0;;;;;;;;;;;;1369;5155;593;3;1348;18155;37327;19172;100
20130604;;;;;;;;;;;4175;417,870001957;6629;27540;669;8880;7940;0;0;;;;;;;;;;1;50;72;2373;546;0;61;15480;28440;12960;96
20130605;;;;;;;;;;;6238;677,785001174;10320;19560;1284;6780;12162;0;0;;;;;;;;;;;;323;841;592;1;312;7954;16053;8099;44
20130606;;;;;;;;;;;6081;648,456001043;10043;26280;947;5220;11879;0;0;935;1254;959;0;924;1609;1609;0;4;;;1409;2244;423;2;1398;14034;26273;12239;89
20130607;;;;;;;;;;;3953;401,276999518;6286;28380;921;6420;7517;0;0;;;;;;;;;;;;1414;2009;403;1;1388;12471;25431;12960;84
20130608;;;;;;;;;;;2805;287,740001455;4549;29100;1218;23580;5414;0;0;;;;;;;;;;;;;;;;;;;;
20130609;;;;;;;;;;;8450;970,101999551;14406;28140;4191;18780;16628;0;0;;;;;;;;;;;;63;4205;742;3;22;18254;39134;20880;100
20130610;;;;;;;;;;;5807;594,948002487;9360;24060;1157;5040;11192;0;0;301;286;327;0;297;767;1727;960;4;;;1425;673;284;0;1414;8726;18206;9480;60
20130611;;;;;;;;;;;9802;934,674000487;14999;21180;1628;1320;18275;0;0;;;;;;;;;;;;;;;;;;;;
20130612;;;;;;;;;;;23886;2431,19200589;38384;5880;7636;1800;45822;0;0;;;;;;;;;;;;106;4819;460;1;95;9422;18501;9079;59
20130613;;;;;;;;;;;15541;1605,06900293;25226;11580;1679;1380;30023;0;0;;;;;;;;;;;;;;;;;;;;
20130614;;;;;;;;;;;9973;965,475002989;15653;19800;1114;2100;18884;0;0;;;;;;;;;;;;;;;;;;;;
20130615;;;;;;;;;;;193;20,1190000772;311;0;93;0;373;0;0;;;;;;;;;;;;;;;;;;;;
20130616;;;;;;;;;;;8918;867,008001268;13942;21060;1857;4380;16851;0;0;;;;;;;;;;;;163;426;552;0;157;11400;23340;11940;74
20130617;;;;;;;;;;;3829;396,694002062;6219;26760;724;6720;7358;0;0;891;2390;987;0;852;1681;5755;4074;14;;;135;410;419;0;129;10210;17170;6960;59
20130618;;;;;;;;;;;3226;332,872001633;5278;30300;1024;10680;6253;0;0;;;;;;;;;;;;1419;3770;637;2;1402;14640;37993;23353;100
20130619;;;;;;;;;;;5590;553,5300024;8827;25080;693;4740;10649;0;0;;;;;;;;;;;;39;1974;443;1;28;10260;23063;12803;73
20130620;;;;;;;;;;;6005;572,406000167;9173;24480;744;4380;11188;0;0;;;;;;;;;;;;80;0;512;0;80;0;25920;0;0
20130621;;;;;;;;;;;6396;651,475001335;10283;21720;574;3000;12287;0;0;;;;;;;;;;;;45;1280;284;1;34;7260;13981;6721;48
20130622;;;;;;;;;;;14444;1458,75100704;23058;19140;3663;5040;27639;0;0;;;;;;;;;;;;;;;;;;;;
